01.org,USERTrust RSA Certification Authority
010shangpu.com,Certum CA
1-news.net,AAA Certificate Services
100.com.tw,TWCA Global Root CA
10000recipe.com,AAA Certificate Services
100layercake.com,AAA Certificate Services
100sp.ru,GlobalSign Root CA
100ye.com,Certum CA
101.ru,DigiCert Global Root CA
101cookbooks.com,AAA Certificate Services
101hotels.com,USERTrust RSA Certification Authority
103.by,AAA Certificate Services
104.ua,DigiCert Global Root CA
1040.com,DigiCert High Assurance EV Root CA
105.net,Entrust Root Certification Authority - G2
109.hu,DigiCert Global Root CA
10mgxviagra.com,DigiCert Global Root CA
10times.com,Certum Trusted Network CA
10x10.co.kr,AAA Certificate Services
1111.com.tw,TWCA Root Certification Authority
114dns.com,Go Daddy Class 2 Certification Authority
115.com,DigiCert Global Root CA
11880.com,USERTrust RSA Certification Authority
1198.cn,DigiCert Global Root CA
11freunde.de,AAA Certificate Services
11points.com,Go Daddy Root Certificate Authority - G2
11secondclub.com,AddTrust External CA Root
12321.cn,Certum CA
123cha.com,GlobalSign Root CA
123docz.net,GlobalSign Root CA
123dok.com,AAA Certificate Services
123greetings.com,Go Daddy Class 2 Certification Authority
123haitao.com,Certum CA
123ink.ca,Go Daddy Class 2 Certification Authority
12storeez.com,DigiCert Global Root CA
1626.com,Go Daddy Class 2 Certification Authority
1688.com,GlobalSign Root CA
17.live,AAA Certificate Services
1777.ru,GlobalSign Root CA
18183.com,Certum Trusted Network CA
1888pressrelease.com,AAA Certificate Services
188bongda.com,AddTrust External CA Root
192.com,DigiCert Global Root CA
19888.tv,DigiCert Global Root CA
1999.co.jp,Security Communication RootCA2
1aauto.com,AAA Certificate Services
1c-bitrix.ru,Go Daddy Class 2 Certification Authority
1cfresh.com,DigiCert Global Root CA
1cont.ru,ISRG Root X1
1doc.com.br,AAA Certificate Services
1firstbank.com,AddTrust External CA Root
1gb.ua,DigiCert Global Root CA
1gl.ru,ISRG Root X1
1k.by,DigiCert Global Root CA
1library.net,AAA Certificate Services
1obl.ru,USERTrust RSA Certification Authority
1office.vn,GlobalSign Root CA
1pezeshk.com,Certum CA
1pondo.tv,Go Daddy Class 2 Certification Authority
1shop.tw,AAA Certificate Services
1talking.net,AAA Certificate Services
1tpe.com,USERTrust RSA Certification Authority
1tpe.net,USERTrust RSA Certification Authority
1tulatv.ru,USERTrust RSA Certification Authority
1ws.com,AAA Certificate Services
1xbet.com,USERTrust RSA Certification Authority
1xbet.com.mx,USERTrust RSA Certification Authority
1xbit.com,USERTrust RSA Certification Authority
1zoom.me,DigiCert Global Root CA
2-10.com,DigiCert Global Root CA
20i.com,DigiCert High Assurance EV Root CA
20minut.ua,AAA Certificate Services
20thcenturystudios.com,Entrust Root Certification Authority - G2
21.by,DigiCert Global Root CA
21cn.com,DigiCert Global Root CA
21jingji.com,DigiCert Global Root CA
21tb.com,DigiCert Global Root CA
21vek.by,DigiCert Global Root CA
220-volt.ru,USERTrust RSA Certification Authority
24hstore.vn,AAA Certificate Services
24petwatch.com,DigiCert High Assurance EV Root CA
24sata.hr,Go Daddy Class 2 Certification Authority
24ur.com,DigiCert Global Root CA
25hours-hotels.com,Starfield Root Certificate Authority - G2
26-2.ru,ISRG Root X1
263.net,DigiCert Global Root CA
27east.com,Go Daddy Class 2 Certification Authority
28.com,Go Daddy Class 2 Certification Authority
2adpro.com,DigiCert Global Root CA
2banh.vn,AAA Certificate Services
2c2p.com,GlobalSign
2captcha.com,AAA Certificate Services
2carpros.com,Go Daddy Class 2 Certification Authority
2d-3d.ru,AAA Certificate Services
2domains.ru,GlobalSign Root CA
2gud.com,Go Daddy Class 2 Certification Authority
2ip.ua,AAA Certificate Services
2kxs.org,AAA Certificate Services
2sao.vn,DigiCert Global Root CA
300.cn,Go Daddy Class 2 Certification Authority
34sp.com,ISRG Root X1
360pi.com,AddTrust External CA Root
360tv.ru,AAA Certificate Services
3618med.com,DigiCert Global Root CA
366.ru,AAA Certificate Services
373news.com,DigiCert Global Root CA
3blmedia.com,Go Daddy Class 2 Certification Authority
3d-galleru.ru,AAA Certificate Services
3dayblinds.com,AddTrust External CA Root
3dissue.com,AAA Certificate Services
3formmusic.com,USERTrust RSA Certification Authority
3gimmobilier.com,DigiCert Global Root CA
3h3.com,DigiCert Global Root CA
3m.co.uk,AAA Certificate Services
3m.com,AAA Certificate Services
3mcanada.ca,AAA Certificate Services
3mcompany.jp,AAA Certificate Services
3mdeutschland.de,AAA Certificate Services
3plearning.com,DigiCert Global Root CA
3shape.com,DigiCert Global Root CA
3t.io,Starfield Root Certificate Authority - G2
42.fr,DigiCert Global Root CA
4399.com,Go Daddy Class 2 Certification Authority
4399sy.com,Go Daddy Class 2 Certification Authority
4brain.ru,GlobalSign Root CA
4cabling.com.au,AAA Certificate Services
4cinsights.com,Go Daddy Class 2 Certification Authority
4imprint.com,DigiCert Global Root CA
4insure.or.kr,DigiCert High Assurance EV Root CA
4kia.ir,Certum CA
4lomza.pl,AAA Certificate Services
4movespain.biz,DigiCert Global Root CA
4over.com,Go Daddy Class 2 Certification Authority
4shared.com,Go Daddy Class 2 Certification Authority
4sync.com,Go Daddy Class 2 Certification Authority
4teachers.de,AAA Certificate Services
